Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE724,2,J8,,"iron compound ABC transporter, permease protein",SAUSA300_0719,J,8
NE725,2,J10,,putative lipoprotein,SAUSA300_0377,J,10
NE726,2,J12,arsC,arsenate reductase,SAUSA300_1719,J,12
NE727,2,J14,,"hydrolase, haloacid dehalogenase-like family",SAUSA300_2464,J,14
NE728,2,J16,fnbB,fibronectin binding protein B,SAUSA300_2440,J,16
NE729,2,J18,,"pseudouridine synthase, family 1",SAUSA300_1699,J,18
NE730,2,J20,,"acetyltransferase, GNAT family family",SAUSA300_0943,J,20
NE731,2,J22,,putative membrane protein,SAUSA300_0622,J,22
NE732,2,J24,qoxB,"quinol oxidase, subunit I",SAUSA300_0962,J,24
NE733,2,L2,,conserved hypothetical protein,SAUSA300_0274,L,2
NE734,2,L4,,ferric hydroxamate receptor,SAUSA300_1978,L,4
NE735,2,L6,,conserved hypothetical protein,SAUSA300_1006,L,6
NE736,2,L8,mgtE,magnesium transporter,SAUSA300_0910,L,8
NE737,2,L10,,ABC transporter permease protein,SAUSA300_0797,L,10
NE738,2,L12,,conserved hypothetical protein,SAUSA300_2209,L,12
NE739,2,L14,Cap5N,capsular polysaccharide biosynthesis protein Cap5N,SAUSA300_0165,L,14
NE740,2,L16,truB,tRNA pseudouridine synthase B,SAUSA300_1164,L,16
NE741,2,L18,,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_0894,L,18
NE742,2,L20,scrR,sucrose operon repressor,SAUSA300_1995,L,20
NE743,2,L22,,integral membrane protein LmrP,SAUSA300_0180,L,22
NE744,2,L24,purK,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",SAUSA300_0967,L,24
NE745,2,N2,,conserved hypothetical protein,SAUSA300_2140,N,2
NE746,2,N4,,conserved hypothetical protein,SAUSA300_1734,N,4
NE747,2,N6,,conserved hypothetical protein,SAUSA300_0177,N,6
NE748,2,N8,,phiSLT ORF 104b-like protein,SAUSA300_1406,N,8
NE749,2,N10,,putative drug transporter,SAUSA300_0121,N,10
NE750,2,N12,purD,phosphoribosylamine--glycine ligase,SAUSA300_0976,N,12
NE751,2,N14,,conserved hypothetical protein,SAUSA300_1693,N,14
NE752,2,N16,,putative membrane protein,SAUSA300_2287,N,16
NE753,2,N18,,staphylococcal tandem lipoprotein,SAUSA300_0100,N,18
NE754,2,N20,pyc,pyruvate carboxylase,SAUSA300_1014,N,20
NE755,2,N22,,"transcriptional regulator, GntR family",SAUSA300_1170,N,22
NE756,2,N24,,"ABC transporter, ATP-binding protein",SAUSA300_0352,N,24
NE757,2,P2,,"antigen, 67 kDa",SAUSA300_0108,P,2
NE758,2,P4,,putative transport protein SgaT,SAUSA300_0330,P,4
NE759,2,P6,glk,glucokinase,SAUSA300_1507,P,6
NE760,2,P8,,putative competence protein,SAUSA300_0900,P,8
NE761,2,P10,nth,endonuclease III,SAUSA300_1343,P,10
NE762,2,P12,,putative membrane protein,SAUSA300_2262,P,12
NE763,2,P14,,conserved hypothetical protein,SAUSA300_0339,P,14
NE764,2,P16,,phiSLT ORF78-like protein,SAUSA300_1432,P,16
NE765,2,P18,,conserved hypothetical protein,SAUSA300_2320,P,18
NE766,2,P20,icaC,intercellular adhesion protein C,SAUSA300_2602,P,20
NE767,2,P22,,"PTS system, sucrose-specific IIBC component",SAUSA300_2324,P,22
NE768,2,P24,fruA,fructose specific permease,SAUSA300_0685,P,24
NE769,3,A1,ctaA,cytochrome oxidase assembly protein,SAUSA300_1015,A,1
NE770,3,A3,-,ABC transporter ATP-binding protein,SAUSA300_0704,A,3
NE771,3,A5,-,putative transporter protein,SAUSA300_2379,A,5
NE772,3,A7,-,ParB-like partition protein,SAUSA300_0361,A,7
NE773,3,A9,-,drug transporter,SAUSA300_2451,A,9
NE774,3,A11,cap1C,capsular polysaccharide biosynthesis protein Cap1C,SAUSA300_2596,A,11
NE775,3,A13,-,ABC transporter permease,SAUSA300_2634,A,13
NE776,3,A15,-,hypothetical protein,SAUSA300_1565,A,15
NE777,3,A17,bioD,dethiobiotin synthase,SAUSA300_2373,A,17
NE778,3,A19,glpQ,glycerophosphoryl diester phosphodiesterase,SAUSA300_0862,A,19
NE779,3,A21,-,hypothetical protein,SAUSA300_1254,A,21
NE780,3,A23,-,putative competence protein,SAUSA300_0901,A,23
NE781,3,C1,-,"multidrug resistance protein B, drug resistance transporter",SAUSA300_2298,C,1
NE782,3,C3,opuCb,glycine betaine/carnitine/choline ABC transporter,SAUSA300_2392,C,3
NE783,3,C5,-,virulence-associated protein E,SAUSA300_1410,C,5
NE784,3,C7,panE,2-dehydropantoate 2-reductase,SAUSA300_2535,C,7
NE785,3,C9,-,putative pyridine nucleotide-disulfide oxidoreductase,SAUSA300_0576,C,9
NE786,3,C11,-,MerR family transcriptional regulator,SAUSA300_2160,C,11
NE787,3,C13,-,hypothetical protein,SAUSA300_0198,C,13
NE788,3,C15,trkA,potassium uptake protein,SAUSA300_0988,C,15
NE789,3,C17,-,putative 5'-3' exonuclease,SAUSA300_1332,C,17
NE790,3,C19,vga,ABC transporter ATP-binding protein,SAUSA300_2000,C,19
NE791,3,C21,-,hypothetical protein,SAUSA300_0098,C,21
NE792,3,C23,-,putative glycosyl transferase,SAUSA300_2583,C,23
NE793,3,E1,-,hypothetical protein,SAUSA300_1090,E,1
NE794,3,E3,,SIS domain protein,SAUSA300_0556,E,3
NE795,3,E5,-,hypothetical protein,SAUSA300_0049,E,5
NE796,3,E7,rpsT,30S ribosomal protein S20,SAUSA300_1545,E,7
NE797,3,E9,,conserved hypothetical protein,SAUSA300_2381,E,9
NE798,3,E11,-,ABC transporter ATP-binding protein,SAUSA300_0796,E,11
NE799,3,E13,alr2,alanine racemase,SAUSA300_1292,E,13
NE800,3,E15,-,putative surface anchored protein,SAUSA300_2581,E,15
NE801,3,E17,-,hypothetical protein,SAUSA300_0592,E,17
NE802,3,E19,-,putative deaminase,SAUSA300_0543,E,19
NE803,3,E21,cap5M,capsular polysaccharide biosynthesis protein Cap5M,SAUSA300_0164,E,21
NE804,3,E23,bglA,6-phospho-beta-glucosidase,SAUSA300_0260,E,23
NE805,3,G1,recA,recombinase A,SAUSA300_1178,G,1
NE806,3,G3,-,putative transposase,SAUSA300_0060,G,3
NE807,3,G5,-,hypothetical protein,SAUSA300_1658,G,5
NE808,3,G7,sdhB,succinate dehydrogenase iron-sulfur subunit,SAUSA300_1048,G,7
NE809,3,G9,-,hypothetical protein,SAUSA300_1214,G,9
NE810,3,G11,-,D-serine/D-alanine/glycine transporter,SAUSA300_1642,G,11
NE811,3,G13,-,hypothetical protein,SAUSA300_1206,G,13
NE812,3,G15,-,hypothetical protein,SAUSA300_0299,G,15
NE813,3,G17,nixA,high-affinity nickel-transporter,SAUSA300_2630,G,17
NE814,3,G19,-,FAD/NAD(P)-binding Rossmann fold superfamily protein,SAUSA300_0394,G,19
NE815,3,G21,cap5K,capsular polysaccharide biosynthesis protein Cap5K,SAUSA300_0162,G,21
NE816,3,G23,lacA,galactose-6-phosphate isomerase subunit LacA,SAUSA300_2155,G,23
NE817,3,I1,-,hypothetical protein,SAUSA300_2624,I,1
NE818,3,I3,-,ABC transporter permease,SAUSA300_0176,I,3
NE819,3,I5,-,hypothetical protein,SAUSA300_1607,I,5
NE820,3,I7,-,sensor histidine kinase,SAUSA300_2309,I,7
NE821,3,I9,pabA,"para-aminobenzoate synthase, glutamine amidotransferase, component II",SAUSA300_0698,I,9
NE822,3,I11,-,RluA family pseudouridine synthase,SAUSA300_0909,I,11
NE823,3,I13,vraS,two-component sensor histidine kinase,SAUSA300_1866,I,13
NE824,3,I15,-,single-strand binding protein,SAUSA300_1958,I,15
NE825,3,I17,-,putative cell wall surface anchor family protein,SAUSA300_2436,I,17
NE826,3,I19,cap5H,capsular polysaccharide biosynthesis protein Cap5H,SAUSA300_0159,I,19
NE827,3,I21,hisIE,nctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase pr,SAUSA300_2605,I,21
NE828,3,I23,-,hypothetical protein,SAUSA300_1916,I,23
NE829,3,K1,-,cobalt transport family protein,SAUSA300_2174,K,1
NE830,3,K3,-,hypothetical protein,SAUSA300_0127,K,3
NE831,3,K5,-,aldo/keto reductase family protein,SAUSA300_2159,K,5
NE832,3,K7,-,ComE operon protein 1,SAUSA300_1549,K,7
NE833,3,K9,-,hypothetical protein,SAUSA300_1671,K,9
NE834,3,K11,cbiO,cobalt transporter ATP-binding subunit,SAUSA300_2175,K,11
NE835,3,K13,fruB,fructose 1-phosphate kinase,SAUSA300_0684,K,13
NE836,3,K15,-,NLPA lipoprotein,SAUSA300_0437,K,15
NE837,3,K17,-,putative transcriptional regulator,SAUSA300_2106,K,17
NE838,3,K19,yfiA,ribosomal subunit interface protein,SAUSA300_0736,K,19
NE839,3,K21,-,methicillin-resistance MecR1 regulatory protein,SAUSA300_0033,K,21
NE840,3,K23,-,hypothetical protein,SAUSA300_1353,K,23
NE841,3,M1,-,hypothetical protein,SAUSA300_0932,M,1
NE842,3,M3,-,hypothetical protein,SAUSA300_1354,M,3
NE843,3,M5,serA,D-3-phosphoglycerate dehydrogenase,SAUSA300_1670,M,5
NE844,3,M7,-,ABC transporter ATP-binding protein,SAUSA300_0670,M,7
NE845,3,M9,-,hypothetical protein,SAUSA300_0052,M,9
NE846,3,M11,-,putative monovalent cation/H+ antiporter subunit F,SAUSA300_0615,M,11
NE847,3,M13,ctpA,carboxyl-terminal protease,SAUSA300_1313,M,13
NE848,3,M15,-,hypothetical protein,SAUSA300_1660,M,15
NE849,3,M17,-,hypothetical protein,SAUSA300_0232,M,17
NE850,3,M19,-,hypothetical protein,SAUSA300_0575,M,19
NE851,3,M21,-,hypothetical protein,SAUSA300_0833,M,21
NE852,3,M23,-,4-oxalocrotonate tautomerase,SAUSA300_1258,M,23
NE853,3,O1,-,hypothetical protein,SAUSA300_0578,O,1
NE854,3,O3,-,membrane spanning protein,SAUSA300_2454,O,3
NE855,3,O5,-,hypothetical protein,SAUSA300_1706,O,5
NE856,3,O7,treC,"alpha,alpha-phosphotrehalase",SAUSA300_0449,O,7
NE857,3,O9,nirB,"nitrite reductase [NAD(P)H], large subunit",SAUSA300_2346,O,9
NE858,3,O11,mreD,rod shape-determining protein MreD,SAUSA300_1604,O,11
NE859,3,O13,,conserved hypothetical protein,SAUSA300_2629,O,13
NE860,3,O15,-,phage helicase,SAUSA300_1408,O,15
NE861,3,O17,acnA,aconitate hydratase,SAUSA300_1246,O,17
NE862,3,O19,,conserved hypothetical protein,SAUSA300_2420,O,19
NE863,3,O21,rpsN,30S ribosomal protein S14,SAUSA300_1234,O,21
NE864,3,O23,-,putative maltose ABC transporter ATP-binding protein,SAUSA300_0208,O,23
NE865,3,B1,lepA,GTP-binding protein LepA,SAUSA300_1544,B,1
NE866,3,B3,,AcrB/AcrD/AcrF family protein,SAUSA300_2213,B,3
NE867,3,B5,-,tetrapyrrole methylase family protein,SAUSA300_0483,B,5
NE868,3,B7,-,hypothetical protein,SAUSA300_2382,B,7
NE869,3,B9,-,iron compound ABC transporter permease,SAUSA300_2135,B,9
NE870,3,B11,opp-3C,"oligopeptide permease, channel-forming protein",SAUSA300_0075,B,11
NE871,3,B13,-,integrase/recombinase,SAUSA300_2636,B,13
NE872,3,B15,-,AraC family transcriptional regulator,SAUSA300_0653,B,15
NE873,3,B17,agrC,accessory gene regulator protein C,SAUSA300_1991,B,17
NE874,3,B19,-,hypothetical protein,SAUSA300_1085,B,19
NE875,3,B21,leuC,isopropylmalate isomerase large subunit,SAUSA300_2012,B,21
NE876,3,B23,-,hypothetical protein,SAUSA300_0057,B,23
NE877,3,D1,-,hypothetical protein,SAUSA300_0584,D,1
NE878,3,D3,,conserved hypothetical protein,SAUSA300_0282,D,3
NE879,3,D5,-,glycine dehydrogenase subunit 1,SAUSA300_1497,D,5
NE880,3,D7,-,acetyltransferase,SAUSA300_2232,D,7
NE881,3,D9,htrA,serine protease,SAUSA300_0923,D,9
NE882,3,D11,-,hypothetical protein,SAUSA300_0197,D,11
NE883,3,D13,xerC,tyrosine recombinase xerC,SAUSA300_1145,D,13
NE884,3,D15,-,oligopeptide ABC transporter permease,SAUSA300_2409,D,15
NE885,3,D17,-,"pyruvate ferredoxin oxidoreductase, alpha subunit",SAUSA300_1182,D,17
NE886,3,D19,thrC,threonine synthase,SAUSA300_1227,D,19
NE887,3,D21,-,hypothetical protein,SAUSA300_1366,D,21
NE888,3,D23,ung,uracil-DNA glycosylase,SAUSA300_0563,D,23
NE889,3,F1,putP,high affinity proline permease,SAUSA300_1883,F,1
NE890,3,F3,-,hypothetical protein,SAUSA300_2560,F,3
NE891,3,F5,-,sodium transport family protein,SAUSA300_0924,F,5
NE892,3,F7,leuD,isopropylmalate isomerase small subunit,SAUSA300_2013,F,7
NE893,3,F9,-,hypothetical protein,SAUSA300_0041,F,9
NE894,3,F11,lacC,tagatose-6-phosphate kinase,SAUSA300_2153,F,11
NE895,3,F13,-,Orn/Lys/Arg decarboxylase,SAUSA300_0458,F,13
NE896,3,F15,-,hypothetical protein,SAUSA300_0903,F,15
NE897,3,F17,miaA,tRNA delta(2)-isopentenylpyrophosphate transferase,SAUSA300_1195,F,17
NE898,3,F19,-,phiSLT ORF387-like protein,SAUSA300_1401,F,19
NE899,3,F21,-,hypothetical protein,SAUSA300_2321,F,21
NE900,3,F23,-,hypothetical protein,SAUSA300_2031,F,23
NE901,3,H1,-,putative drug transporter,SAUSA300_0268,H,1
NE902,3,H3,-,phiPVL ORF046-like protein,SAUSA300_1957,H,3
NE903,3,H5,-,short chain dehydrogenase/reductase family oxidoreductase,SAUSA300_1451,H,5
NE904,3,H7,-,putative lipoprotein,SAUSA300_0290,H,7
NE905,3,H9,-,hypothetical protein,SAUSA300_0469,H,9
NE906,3,H11,-,putative transposase,SAUSA300_1732,H,11
NE907,3,H13,-,hypothetical protein,SAUSA300_1868,H,13
NE908,3,H15,-,hypothetical protein,SAUSA300_1892,H,15
NE909,3,H17,aroD,3-dehydroquinate dehydratase,SAUSA300_0787,H,17
NE910,3,H19,-,IS200 family transposase,SAUSA300_1309,H,19
NE911,3,H21,ahpC,alkyl hydroperoxide reductase subunit C,SAUSA300_0380,H,21
NE912,3,H23,clpP,ATP-dependent Clp protease proteolytic subunit,SAUSA300_0752,H,23
NE913,3,J1,deoC,deoxyribose-phosphate aldolase,SAUSA300_2090,J,1
NE914,3,J3,tig,trigger factor,SAUSA300_1622,J,3
NE915,3,J5,-,BglG family transcriptional antiterminator,SAUSA300_2575,J,5
NE916,3,J7,-,phosphoglucomutase/phosphomannomutase family protein,SAUSA300_2433,J,7
NE917,3,J9,-,phiSLT ORF204-like protein,SAUSA300_1437,J,9
NE918,3,J11,-,phi77 ORF006-like protein capsid protein,SAUSA300_1938,J,11
NE919,3,J13,-,acetyltransferase,SAUSA300_0451,J,13
NE920,3,J15,-,hypothetical protein,SAUSA300_0856,J,15
NE921,3,J17,-,glutamyl-aminopeptidase,SAUSA300_1691,J,17
NE922,3,J19,-,HPCH/HPAI aldolase family protein,SAUSA300_0124,J,19
NE923,3,J21,-,hypothetical protein,SAUSA300_2286,J,21
NE924,3,J23,sun,ribosomal RNA small subunit methyltransferase B,SAUSA300_1110,J,23
NE925,3,L1,-,superantigen-like protein 7,SAUSA300_0401,L,1
NE926,3,L3,-,putative lipoprotein,SAUSA300_1106,L,3
NE927,3,L5,-,hypothetical protein,SAUSA300_0326,L,5
NE928,3,L7,-,putative iron compound ABC transporter iron compound-binding protein,SAUSA300_0598,L,7
NE929,3,L9,mtlF,"PTS system, mannitol specific IIBC component",SAUSA300_2105,L,9
NE930,3,L11,rocD,ornithine--oxo-acid transaminase,SAUSA300_0860,L,11
NE931,3,L13,-,ABC transporter permease,SAUSA300_0308,L,13
NE932,3,L15,,5' nucleotidase family protein,SAUSA300_0147,L,15
NE933,3,L17,-,iron compound ABC transporter iron compound-binding protein,SAUSA300_2235,L,17
NE934,3,L19,,cysteine protease precursor,SAUSA300_0950,L,19
NE935,3,L21,cidB,hypothetical protein,SAUSA300_2478,L,21
NE936,3,L23,-,RNA methyltransferase,SAUSA300_0517,L,23
NE937,3,N1,-,PfkB family kinase,SAUSA300_1993,N,1
NE938,3,N3,-,tandem lipoprotein,SAUSA300_0413,N,3
NE939,3,N5,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,SAUSA300_2078,N,5
NE940,3,N7,-,"phiSLT ORF412-like protein, portal protein",SAUSA300_1403,N,7
NE941,3,N9,-,acetyltransferase family protein,SAUSA300_2492,N,9
NE942,3,N11,-,"glycosyl transferase, group 2 family protein",SAUSA300_0252,N,11
NE943,3,N13,-,hypothetical protein,SAUSA300_0178,N,13
NE944,3,N15,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,SAUSA300_0357,N,15
NE945,3,N17,brnQ,branched-chain amino acid transport system II carrier protein,SAUSA300_0188,N,17
NE946,3,N19,-,CsbD-like superfamily protein,SAUSA300_0816,N,19
NE947,3,N21,-,hypothetical protein,SAUSA300_1042,N,21
NE948,3,N23,-,hypothetical protein,SAUSA300_0349,N,23
NE949,3,P1,hsdM,"type I restriction-modification system, M subunit",SAUSA300_1752,P,1
NE950,3,P3,,phosphoribosylaminoimidazole-succinocarboxamide synthase,SAUSA300_0968,P,3
NE951,3,P5,-,putative abrB protein,SAUSA300_1613,P,5
NE952,3,P7,gntP,gluconate permease,SAUSA300_2442,P,7
NE953,3,P9,-,hypothetical protein,SAUSA300_0770,P,9
NE954,3,P11,-,hypothetical protein,SAUSA300_2327,P,11
NE955,3,P13,narI,"respiratory nitrate reductase, gamma subunit",SAUSA300_2340,P,13
NE956,3,P15,-,CBS domain-containing protein,SAUSA300_1524,P,15
NE957,3,P17,-,NADH-dependent FMN reductase,SAUSA300_0340,P,17
NE958,3,P19,-,two-component response regulator,SAUSA300_0255,P,19
NE959,3,P21,,exonuclease SbcD,SAUSA300_1242,P,21
NE960,3,P23,-,alpha/beta fold family hydrolase,SAUSA300_0601,P,23
NE961,3,A2,opuCc,glycine betaine/carnitine/choline ABC transporter,SAUSA300_2391,A,2
NE962,3,A4,-,GGDEF domain-containing protein,SAUSA300_0730,A,4
NE963,3,A6,-,hypothetical protein,SAUSA300_1859,A,6
NE964,3,A8,-,4'-phosphopantetheinyl transferase superfamily protein,SAUSA300_0182,A,8
NE965,3,A10,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,SAUSA300_1363,A,10
NE966,3,A12,-,hypothetical protein,SAUSA300_0848,A,12
NE967,3,A14,-,Na+/H+ antiporter family protein,SAUSA300_0846,A,14
NE968,3,A16,-,hypothetical protein,SAUSA300_0327,A,16
NE969,3,A18,,sodium:solute symporter family protein,SAUSA300_0314,A,18
NE970,3,A20,,M23/M37 peptidase domain protein,SAUSA300_2162,A,20
NE971,3,A22,,amino acid/peptide transporter (Peptide:H+ symporter),SAUSA300_0712,A,22
NE972,3,A24,recQ,ATP-dependent DNA helicase RecQ,SAUSA300_0705,A,24
NE973,3,C2,,putative staphyloxanthin biosynthesis protein,SAUSA300_0277,C,2
NE974,3,C4,mutS,DNA mismatch repair protein mutS,SAUSA300_1188,C,4
NE975,3,C6,,accessory secretory protein Asp2,SAUSA300_2586,C,6
NE976,3,C8,clpB,Chaperone clpB,SAUSA300_0877,C,8
NE977,3,C10,,"putative ABC transporter, ATP-binding protein",SAUSA300_1852,C,10
NE978,3,C12,pyrD,dihydroorotate dehydrogenase,SAUSA300_2526,C,12
NE979,3,C14,,sugar efflux transporter,SAUSA300_0659,C,14
NE980,3,C16,-,putative zinc-binding dehydrogenase,SAUSA300_2317,C,16
NE981,3,C18,-,"aminotransferase, class I",SAUSA300_2497,C,18
NE982,3,C20,hsdS,"type I restriction-modification enzyme, S subunit",SAUSA300_1751,C,20
NE983,3,C22,-,glucose 1-dehydrogenase-like protein,SAUSA300_2416,C,22
NE984,3,C24,-,hypothetical protein,SAUSA300_0667,C,24
NE985,3,E2,-,hypothetical protein,SAUSA300_0408,E,2
NE986,3,E4,-,hypothetical protein,SAUSA300_2412,E,4
NE987,3,E6,ssaA,secretory antigen precursor SsaA,SAUSA300_2249,E,6
NE988,3,E8,-,hypothetical protein,SAUSA300_0383,E,8
NE989,3,E10,-,hypothetical protein,SAUSA300_0084,E,10
NE990,3,E12,-,hypothetical protein,SAUSA300_0126,E,12
NE991,3,E14,-,uroporphyrin-III C-methyl transferase,SAUSA300_2344,E,14
NE992,3,E16,-,"PTS system, sorbitol-specific IIC component",SAUSA300_0241,E,16
NE993,3,E18,-,putative hemolysin III,SAUSA300_2129,E,18
NE994,3,E20,-,hypothetical protein,SAUSA300_2622,E,20
NE995,3,E22,yajC,preprotein translocase subunit YajC,SAUSA300_1594,E,22
NE996,3,E24,-,putative transport protein,SAUSA300_2397,E,24
NE997,3,G2,-,HemK family modification methylase,SAUSA300_2071,G,2
NE998,3,G4,-,HAD superfamily hydrolase,SAUSA300_1229,G,4
NE999,3,G6,-,6-carboxyhexanoate--CoA ligase,SAUSA300_2369,G,6
NE1000,3,G8,-,putative monovalent cation/H+ antiporter subunit C,SAUSA300_0612,G,8
NE1001,3,G10,-,GntR family transcriptional regulator,SAUSA300_0258,G,10
NE1002,3,G12,set7,superantigen-like protein,SAUSA300_0396,G,12
NE1003,3,G14,mqo,malate:quinone oxidoreductase,SAUSA300_2312,G,14
NE1004,3,G16,-,hypothetical protein,SAUSA300_0027,G,16
NE1005,3,G18,-,hypothetical protein,SAUSA300_2543,G,18
NE1006,3,G20,-,hypothetical protein,SAUSA300_0702,G,20
NE1007,3,G22,-,putative proline/betaine transporter,SAUSA300_0558,G,22
NE1008,3,G24,sdaAB,"L-serine dehydratase, iron-sulfur-dependent, beta subunit",SAUSA300_2470,G,24
NE1009,3,I2,-,hypothetical protein,SAUSA300_0567,I,2
NE1010,3,I4,-,hypothetical protein,SAUSA300_2378,I,4
NE1011,3,I6,-,hypothetical protein,SAUSA300_0173,I,6
NE1012,3,I8,rexB,exonuclease RexB,SAUSA300_0869,I,8
NE1013,3,I10,-,hypothetical protein,SAUSA300_0826,I,10
NE1014,3,I12,-,putative lipoprotein,SAUSA300_0175,I,12
NE1015,3,I14,-,formate/nitrite transporter family protein,SAUSA300_0305,I,14
NE1016,3,I16,-,acetyltransferase,SAUSA300_0785,I,16
NE1017,3,I18,-,hypothetical protein,SAUSA300_1352,I,18
NE1018,3,I20,-,hypothetical protein,SAUSA300_1479,I,20
NE1019,3,I22,epiP,lantibiotic epidermin leader peptide processing serine protease EpiP,SAUSA300_1763,I,22
NE1020,3,I24,,conserved hypothetical protein,SAUSA300_1031,I,24
NE1021,3,K2,cap5F,capsular polysaccharide biosynthesis protein Cap5F,SAUSA300_0157,K,2
NE1022,3,K4,fmt,fmt protein,SAUSA300_0959,K,4
NE1023,3,K6,ptsI,phosphoenolpyruvate-protein phosphotransferase,SAUSA300_0984,K,6
NE1024,3,K8,-,"phiSLT ORF 563-like protein, terminase, large subunit",SAUSA300_1404,K,8
NE1025,3,K10,,integral membrane protein,SAUSA300_0729,K,10
NE1026,3,K12,-,hypothetical protein,SAUSA300_1298,K,12
NE1027,3,K14,-,phiSLT ORF153-like protein,SAUSA300_1435,K,14
NE1028,3,K16,-,endonuclease IV,SAUSA300_1517,K,16
NE1029,3,K18,,conserved hypothetical protein,SAUSA300_1780,K,18
NE1030,3,K20,rarD,RarD protein,SAUSA300_2628,K,20
NE1031,3,K22,sbnC,IucC family siderophore biosynthesis protein,SAUSA300_0120,K,22
NE1032,3,K24,-,cell wall surface anchor family protein,SAUSA300_0136,K,24
NE1033,3,M2,,putative membrane protein,SAUSA300_2466,M,2
NE1034,3,M4,norA,multi drug resistance protein,SAUSA300_0680,M,4
NE1035,3,M6,ssaA,secretory antigen precursor SsaA,SAUSA300_2253,M,6
NE1036,3,M8,-,putative AMP-binding enzyme,SAUSA300_2542,M,8
NE1037,3,M10,-,N-acetylmannosamine-6-phosphate 2-epimerase,SAUSA300_0318,M,10
NE1038,3,M12,hisC,histidinol-phosphate aminotransferase hisC,SAUSA300_2610,M,12
NE1039,3,M14,-,hypothetical protein,SAUSA300_0312,M,14
NE1040,3,M16,mutY,A/G-specific adenine glycosylase,SAUSA300_1849,M,16
NE1041,3,M18,-,putative drug transporter,SAUSA300_2217,M,18
NE1042,3,M20,-,hypothetical protein,SAUSA300_2529,M,20
NE1043,3,M22,-,hypothetical protein,SAUSA300_2585,M,22
NE1044,3,M24,-,hypothetical protein,SAUSA300_0980,M,24
NE1045,3,O2,-,hypothetical protein,SAUSA300_1550,O,2
NE1046,3,O4,fdhD,formate dehydrogenase accessory protein,SAUSA300_2231,O,4
NE1047,3,O6,arcB,ornithine carbamoyltransferase,SAUSA300_0062,O,6
NE1048,3,O8,pyrP,uracil permease,SAUSA300_1092,O,8
NE1049,3,O10,atpD,F0F1 ATP synthase subunit beta,SAUSA300_2058,O,10
NE1050,3,O12,-,acetoin reductase,SAUSA300_0129,O,12
NE1051,3,O14,-,hypothetical protein,SAUSA300_0778,O,14
NE1052,3,O16,-,peptide ABC transporter permease,SAUSA300_1275,O,16
NE1053,3,O18,-,putative sensor histidine kinase,SAUSA300_1799,O,18
NE1054,3,O20,-,hypothetical protein,SAUSA300_2419,O,20
NE1055,3,O22,tagX,teichoic acid biosynthesis protein X,SAUSA300_0627,O,22
NE1056,3,O24,-,hypothetical protein,SAUSA300_2169,O,24
NE1057,3,B2,-,hypothetical protein,SAUSA300_2521,B,2
NE1058,3,B4,-,acetyltransferase,SAUSA300_0591,B,4
NE1059,3,B6,-,hypothetical protein,SAUSA300_1486,B,6
NE1060,3,B8,-,U32 family peptidase,SAUSA300_1570,B,8
NE1061,3,B10,-,inositol monophosphatase family protein,SAUSA300_2260,B,10
NE1062,3,B12,-,tandem lipoprotein,SAUSA300_0410,B,12
NE1063,3,B14,-,chorismate-binding domain-containing protein,SAUSA300_0699,B,14
NE1064,3,B16,-,TetR family transcriptional regulator,SAUSA300_2322,B,16
NE1065,3,B18,-,osmoprotectant ABC transporter permease,SAUSA300_0707,B,18
NE1066,3,B20,-,MarR family transcriptional regulator,SAUSA300_0954,B,20
NE1067,3,B22,-,hypothetical protein,SAUSA300_2266,B,22
NE1068,3,B24,-,"citrate transporter, permease",SAUSA300_2552,B,24
NE1069,3,D2,rocD,ornithine aminotransferase,SAUSA300_0187,D,2
NE1070,3,D4,-,putative oxidoreductase,SAUSA300_0329,D,4
NE1071,3,D6,-,NAD-dependent epimerase/dehydratase family protein,SAUSA300_0538,D,6
NE1072,3,D8,-,cobalamin synthesis protein/P47K family protein,SAUSA300_0673,D,8
NE1073,3,D10,-,hypothetical protein,SAUSA300_0810,D,10
NE1074,3,D12,oppB,oligopeptide ABC transporter permease,SAUSA300_0887,D,12
NE1075,3,D14,,cell wall surface anchor family protein,SAUSA300_1677,D,14
NE1076,3,D16,-,hypothetical protein,SAUSA300_2289,D,16
NE1077,3,D18,rbsK,ribokinase,SAUSA300_0262,D,18
NE1078,3,D20,-,hypothetical protein,SAUSA300_1698,D,20
NE1079,3,D22,-,S1 RNA-binding domain-containing protein,SAUSA300_2021,D,22
NE1080,3,D24,epiF,lantibiotic epidermin immunity protein F,SAUSA300_1762,D,24
NE1081,3,F2,phoB,alkaline phosphatase,SAUSA300_2561,F,2
NE1082,3,F4,-,hypothetical protein,SAUSA300_2635,F,4
NE1083,3,F6,potC,spermidine/putrescine ABC transporter permease,SAUSA300_1001,F,6
NE1084,3,F8,-,hypothetical protein,SAUSA300_1017,F,8
NE1085,3,F10,scpB,segregation and condensation protein B,SAUSA300_1444,F,10
